Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C15, C2, C3, C4, C5, C6",0603,8,1uF,
"C11, C12, C13, C14, C16, C17, C18, C7, C8, C9",0603,10,100n,
IC1,Diodes_SO-8EP,1,PAM8304ASR (CS8305E),
J1,DSUB-9_Male_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,1,DE9_Plug,
J2,DSUB-9_Female_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm,1,DE9_Receptacle,
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
LS1,PinHeader_1x02_P2.54mm_Vertical,1,Speaker,
"R1, R2, R5, R6, R7",0603,5,300k,
R3,0603,1,1k,
R4,0603,1,22R,
RV1,Potentiometer_Bourns_3299Z_Horizontal,1,10k,
U1,DIP-40_W15.24mm,1,jen motiv na desce,
"U2, U4",SO-14_3.9x8.65mm_P1.27mm,2,74HC74,
U3,SO-16_3.9x9.9mm_P1.27mm,1,74HC138,
U5,SO-14_3.9x8.65mm_P1.27mm,1,74HC132,
U6,DIP-40_W15.24mm,1,AY-3-8910 (YM2149),
"U7, U8",SO-16_3.9x9.9mm_P1.27mm,2,MAX3232,
